,,,,,,,,,,,,
تسلسل,اسم المشروع,المحافظة,الشركة المنفذة للمشروع,الاسباب,تاريخ تقديم أالمدد من قبل المهندس المقيم الى اللجنة المختصة او التنفيذ,تاريخ الانجاز المتوقع,تاريخ الارسال,(مدد+امر غيار) قسم التخطيط,تاريخ الانجاز المتوقع قسم التخطيط,تاريخ الارسال الى دائرة العقود,رفم الكتاب المصادقة عليه,تاريخ الكتاب
26,اكمال الاعمال المتبقية لمشروع شبكة مجاري العزيزية / محافظة واسط,واسط,شركة الاقبال للمقاولات الانشائية,,,,,,,,,
27,تأهيل وتطوير البنى التحتية المرحلة الثانية في قضاء الحي,واسط,شركة الاحتفاد للمقاولات +شركة ريا الخير للتجارة والمقاولات العامة والاستثمارات العقارية,,,,,,,,,
28,مشروع مجاري عفك,الديوانية,ائتلاف شركات شبه الجزيرة للمقاولات والفرمان الهندسية للمقاولات والجوهرة الذهبية للمقاولات,,,,,,,,,
29,مشروع مجاري الديوانية م2 بطاقة (100000) م3/يوم(تسليم مفتاح) بعد ادخال شركة نور الافق كشريك اساسي,الديوانية,شركة الرافدين العامة + شركة نور الافق للمقاولات,,,,,,,,,
30,مشروع مجاري غماس / م 1,الديوانية,شركات بحر المرجان والغد المشرق والديار للمقاولات,,,,,,,,,
31,تجهيز وتنفيذ محطتي معالجة الناصرية (صوب الجزيرة بطاقة تصميمية (70000)م3/يوم +صوب الشامية بطاقة تصميمية (65000)م3/يوم),ذي قار,شركتي الخليج الكبير والرباط الكبير للمقاولات,,,,,,,,,
32,اعداد دراسة وتصاميم محطة معالجة مع شبكات الامطار والمجاري الثقيلة الرئيسية والفرعية مع محطات الرفع مركز محافظة كركوك مع تجهيز وتنفيذ وتشغيل وصيانة المرحلة الاولى للمشروع بطريقة تسليم مفتاح,كركوك,شركة بوزو للانشاءات والمقاولة والصناعة والتجارة المحدودة,,,,,,,,,
33,الاعمال التكميلية لمحطة معالجة تكريت _ الضباعي /م 2,صلاح الدين,زان وشمس سارة للمقاولات,,,,,,,,,
34,مشروع مجاري الفلوجة بطاقة (35000) م3/يوم (تسليم مفتاح),الأنبار,شركتي النبراس الأبيض والرهيف للمقاولات العامة المحدودة,,,,,,,,,
35,الاعمال التكميلية لمحطة معالجة مدينة بلد /م2 محافظة صلاح الدين مع تجهيز وتنفيذ وتشغيل وصيانة م 2 لمحطة المعالجة,صلاح الدين,شركة كونتراتاس اغليسياس اس ايه الاسبانية,,,,,,,,,
36,تجهيز وتنفيذ شبكات مجاري الأحياء السكنية /كربلاء المقدسة /م4,كربلاء,الشركة العصرية للمقاولات العامة المحدودة,,,,,,,,,
37,تطوير وتأهيل البنى التحتية لقضاء الصويرة,واسط,شركتي ادم واهل الوفاء للمقاولات,,,,,,,,,
38,تجهيز وتنفيذ وتشغيل وصيانة لمحطة المعالجة (مركز تصفية حمدان م4),البصرة,CCCC الصينية + شركة نجران للمقاولات,,,,,,,,,
